update_time,Americas_deaths,Oceania_deaths,Africa_confirmed_cases,Africa_deaths,Africa_recovered,Asia_confirmed_cases,Asia_deaths,Asia_recovered,Europe_confirmed_cases,Europe_deaths,Europe_recovered,Americas_confirmed_cases,Americas_recovered,Oceania_confirmed_cases,Oceania_recovered
2020-03-01 08:30:00,0.0007026595110191831,0.006825821735402377,0.999415235073086,-2.464950233437707e-06,0.0003293652013216593,3884.334781039516,129.9295248527081,1490.3727215184058,31.694786679389317,0.7233710673341651,2.4586284090654784,6.202695854870853,0.2809535381698468,6.621185920130351,0.5285932246237757
2020-03-01 09:00:00,0.0006038185790568674,0.005097491210861475,0.999423778533904,-2.391533149778474e-06,0.00033365254527901404,4199.592348234818,142.4323526667294,1669.1489085703329,31.708635412045304,0.7236104037413449,2.4598011019183086,6.200741801249553,0.28005292514243174,6.6292483350316935,0.5295363964217132
2020-03-01 09:30:00,0.0005553091798298354,0.0038196852216631043,0.9994365113338601,-2.316369907831616e-06,0.0003401071498969903,4431.02670555607,151.6544764605335,1806.1776471911826,31.731453648040315,0.7239792726957487,2.461438493185334,6.1994512886125905,0.27943930506129955,6.635214682309856,0.5302504786190972
2020-03-01 10:00:00,0.0005518557551655312,0.002883747351801977,0.99945530482636,-2.2394468634904553e-06,0.00034968190823949285,4510.578635423492,154.90681279406868,1865.7033337970088,31.766440488204992,0.7245301549078625,2.463767451435837,6.1986722995908465,0.2790395580190792,6.6395911676020285,0.5307982450512585
2020-03-01 10:30:00,0.0005934833279691784,0.0022037829550108374,0.9994828510821635,-2.160750531698388e-06,0.00036374311077433646,4388.1589106735655,150.18048944937354,1822.7414524228257,31.81837013086403,0.7253396504468627,2.467104201471356,6.198310942966374,0.2788048317151858,6.642778254528728,0.5312324850115409
2020-03-01 11:00:00,0.0006855203021652878,0.0017133189408084244,0.9995230100182698,-2.0802675918308623e-06,0.0003842428460872306,4115.538844849175,139.49981953098973,1703.7227734857904,31.894144459990677,0.7265173317155345,2.471890285646812,6.198322226495178,0.2787056030416763,6.645086304039435,0.5315986834482447
2020-03-01 11:30:00,0.0008390903127941871,0.0013617841205258814,0.9995812960322146,-1.997984893141111e-06,0.0004139592692895388,3767.1137345092907,125.7603859905386,1544.5692418593298,32.0035723205676,0.7282182252764495,2.4787416192348593,6.198705320010072,0.27872850534496424,6.646752088461633,0.5319381563620281
2020-03-01 12:00:00,0.001072110741889419,0.0011112426630941205,0.9996655560003173,-1.9138894602618254e-06,0.0004568291271524359,3408.577054281416,111.49273019102174,1375.1261438656074,32.1604404285092,0.7306599849377142,2.4885145598000955,6.199502992604268,0.27887469341295024,6.64795418308427,0.532291543219354
2020-03-01 12:30:00,0.0014108270078071958,0.0009335708230025731,0.9997869073026634,-1.827968498773402e-06,0.0005184043110459538,3083.7006407876397,98.38082782507371,1215.3949091472189,32.38395745470063,0.7341461150705821,2.502393771801614,6.20080508280196,0.2791595850899919,6.64882637254304,0.5327027292544294
2020-03-01 13:00:00,0.0018919097515266194,0.0008081269504596096,0.9999610252656321,-1.7402094007940884e-06,0.0006064729561360491,2812.1790083510823,87.25257885467862,1074.8201089997349,32.70066823443942,0.7390968934407057,2.522007392305774,6.202756011772615,0.2796138779435561,6.6494688699450375,0.5332233963028525
